,Text_Name,Text,Genre,Sentiment
 新东方要进行平台的战略转移
 属于无稽之谈
 亚马逊推出一个新政策
 针对Prime会员提供的免广告音乐
 以及音频内容将大量增加
 目的是在最近上调会员费之后
 继续增强免费内容福利的吸引力
 当地时间周二
 亚马逊官方宣布Prime会员
 可以免费欣赏的数字音乐曲库
 将从目前的200万首
 大幅度增加到1亿首
 埃隆马斯克表示
 Twitter将推出一款
 每月8美元的付费订阅服务
 该服务将对订户进行认证
 提高他们发帖的可见度
 并允许这些订户看到更少的广告
 这也是自马斯克上周
 掌舵Twitter以来
 进行的第一项改革措施
 马斯克还表示
 这表示他将改革认证系统
 从之前直面向名人政治家记者
 扩大到所有Twitter Blue订户
 下一个全球最高的酒店建筑
 蓝天酒店
 将于明年在阿联酋迪拜建成
 届时它将取代
 同样位于迪拜的吉沃拉酒店
 成为全球第一高的酒店
 蓝天酒店由伦敦建筑师设计
 阳高 也就是室外设计地平
 至建筑沿口的高度为366.5米
 酒店拥有一千多间客房
 以及一个带无边际泳池的楼顶露台
 公营链消息称
 苹果的XR设备名为N301
 有望于2023年第一期多量产
 苹果要求供应商用半导体
 无尘式规格组装生产
 今天咱们就先聊到这
 我是金圣
 8.1克 咱们明天见
 中文字幕组",科技,1.0
2,Sophia美剧精讲｜走遍美国- Sophia的英语学堂 - 影视.txt,"Hey guys, this is Sophia, welcome back to Family Album USA
 各位同学大家好,欢迎大家来到一听雨学堂
 我们今天的节来聊总美
 前面我们讲到这个Richard的摄影机开幕之一,非常的成功
 那我们可能大家好奇,接下来Richard会怎么发展呢?
 首先我们来听一下原声音频
 很高兴认识你,希望是个惊喜
 我先把摄影机的名字写下
 啊,Richard,Maryland
 我想请你见见John O'Neill
 哦,你好吗?
 很高兴认识你
 我正在期待见到你丈夫,Mr. Stewart
 我对你的节目非常感激
 谢谢
 实际上,我喜欢你的名字
 哦,真的吗?
 在合作中
 什么意思,Harvey?
 Mr. O'Neill是设计师
 当然,我见过你电视上
 Mr. O'Neill很感激你的作品
 他想让它成为一个摄影机的概念
 那太有趣了
 那我该怎么做呢?
 我想让你成为摄影机的摄影师
 哦,Richard,太有趣了
 这是一个很好的机会,Richard
 哦,等等
 等等,请
 什么问题,Richard?
 问题是,我是摄影师
 而不是编辑者
 我喜欢我所做的事
 实际上,我喜欢我所做的事
 就是拍摄摄影和拍摄电影
 并且看到人类的美丽
 我欣赏你的提供
 但我努力在Family Album USA工作
 我正在考虑了一本新的书
 在不同的项目中
 虽然我很惊讶
 但我喜欢拍摄摄影
 我想继续做这些
 谢谢你
 但我愿意成为摄影师
 我知道,Richard
 Richard,我知道你下一本书
 会成功
 恭喜你
 谢谢
 你真正的摄影师
 谢谢
 谢天谢地,终于结束了
 前面我们讲Richard发表感言
 让同时给大家去签名
 整个晚上,其实他是非常紧张的
 就像我们比如说参加一场大型的活动
 或者说进行演讲比赛
 这个时候面临众人的自己
 其实压力非常大
 结束之后感觉
 终于心里的石头落地了
 I'm glad that's over
 两个人在这个画廊里
 在欣赏自己的作品
 这个时候Tom从旁边经过
 拿着摄像机就说
 Would you mind?
 意思也就说
 我能不能给你们拍张照
 Would you mind?
 你们介意吗?
 Not at all
 Not at all
 一点也不介意
 一点也不介意
 Thanks
 Our pleasure
 My pleasure
 就是很乐意的意思
 Our pleasure
 我们很荣幸
 很乐意的意思
 那么就拍完之后
 Richard就说
 Hope it wins the Pulitzer Prize
 Pulitzer Prize指的就是这个普利策奖
 这是国际公认的一个摄影类的这个奖项
 Hope it wins the Pulitzer Prize
 希望能够获得这个奖项
 也就是说你这个作品能够获得大奖
 那Tom就说到
 I will settle for an A in my photography course
 这里面有一个词叫settle for
 I will settle for an A
 意思也就说
 我能得个A
 我就心满意足了
 In my photography course
 Tom是一名摄影系的学生
 就说我这个能在自己的这个科业上
 拿一个A就不错了
 我就心满意足了
 Pulitzer奖就不奢求了
 那我们平时也可以说
 就是希望怎么怎么样
 然后就可以说
 I will settle for something
 能够怎么怎么样
 我就心满意足了
 然后再接下来呢
 他们就遇到了另外一个人物
 这个时候在散步的时候
 Richard Marilyn就遇到了Carlson
 于是呢
 Carlson就说到
 我给你们介绍一下John O'Neill
 这个John O'Neill上来
 先对着Maryland说一句话
 非常期待能够见到你先生
 I've been looking forward to meeting your husband
 这个时候Richard就好比是一个大人物一样
 为什么他想见Richard呢
 就说到
 I'm really impressed by your show
 非常欣赏他的这个摄影展
 Thank you
 In fact, I'd like your autograph
 Autograph我们前面讲过亲笔签名
 Oh well, really
 On contract
 On contract就是签合同的意思
 说明要给他提供一个工作
 或合作啊
 What's this about Harvey
 What's this about
 这是关于什么的呢
 Mr. O'Neill is the publisher of several magazines
 好几家杂志的出版商啊
 Of course, I've seen you on television
 Maryland就说
 I've seen you on television
 我在电视上见过你
 那我们平时也会这么说啊
 突然间呢
 电视上出现一个人物
 我在电视上见过你
 就可以这么说
 I've seen you on television
 Mr. O'Neill was so impressed with your work
 That he wants to develop it into a magazine concept
 也就说呢
 这个O'Neill先生呢
 就是参观了他这个摄影展呢
 非常喜欢非常欣赏
 所以说呢
 想邀约Richard去参与他的这个杂志
 Well, that sounds very exciting
 But where would I fit into the plan
 这里有个词叫fit into
 fit into有一种比如说融入呀
 或者说发挥什么作用
 那也就是我在这项计划中起到什么样的作用呢
 我具体让我干什么事呢
 就是这样一个意思
 That sounds very exciting
 就比如说别人说
 我想邀请你做某件事情
 或者说呢
 你愿不愿意加入我
 那就说
 That sounds very exciting
 But where would I fit into the plan
 那具体细节是什么呢
 I'd like you to be the photo editor of the magazine
 想让Richard去做他杂志的照片编辑
 Oh Richard, how exciting
 Maryland听到这个之后呢
 非常的开心啊
 自己老公被别人认可了
 并且呢还获得了这个邀约啊
 It's a wonderful opportunity Richard
 这个机会难得
 Hold on, wait a minute please
 Hold on
 意思也就诶等一下
 等等
 在大家都认为是一个非常好的机会的时候啊
 这个Richard好像还有一些疑问
 What's the problem Richard
 怎么了
 The problem is that I'm a photographer not an editor
 问题就在于我是一名摄影师
 而不是编辑
 I like what I do
 我非常喜欢我现在的工作
 那我们平时就可以这么来表达
 I like what I do
 我喜欢我的工作
 我喜欢我所从事的行业
 In fact, I love what I do
 这里就是一个强化啊
 就是从like变到love
 我们前面讲过这两个字的区别
 love就是热爱
 就是把它当成自己毕生的一个事业
 一个追求啊
 I love what I do
 我非常热爱我现在所从事的这个职业
 Which is going out with a camera and a row of film
 And seeing the wonder of humanity
 那Richard想做的是什么呢
 就是一名自由的摄影师
 拿着一卷胶卷和摄影机
 拍下自己认为震撼的东西啊
 是一种非常自由的发挥
 Going out with a camera and a row of film
 这里的film指的是胶卷
 A row of film就是一卷胶卷
 Seeing the wonder of humanity
 那很多喜欢摄影的同学啊
 应该也是有这样的一种感受啊
 通过自己的这个感知和认知呢
 就是留下那最震撼最美好的瞬间
 这就是摄影师所做的工作
 这是礼貌拒绝别人邀约的一种方式啊
 非常感激你能够赏识我
 给我这样的一个机会
 但是
 I've worked so hard on Family Album USA
 我非常热爱我自己所从事的这个行业
 然后我花了五年的时间塑造了今天这个Family Album USA
 And I'm giving some thought on a new book on a different subject
 经过这次摄影展呢
 我又有了新的想法想创作一本新的摄影展
 其实对他来说是一个良好的开端啊
 其实自己想一直坚持这条路
 I've given some thought on a new book
 就说有了新的想法
 I'm flattered but I enjoy taking pictures
 I'm flattered but 也是一种拒绝的方式啊
 对于您的这个赏识我受宠若惊
 但是
 I enjoy taking pictures
 非常喜欢拍照片
 Take pictures
 And I wanna continue doing that
 I wanna continue doing that
 就是
 我想继续从事我现在所做的工作
 I wanna continue doing something
 我想继续做某事
 这里的want和to合到一块want
 Thank you
 But I'm happy being a photographer
 这里一共说了三种拒绝的方式啊
 那我们可以学一下
 I appreciate your offer but
 I'm flattered but
 Thank you but
 I understand Richard
 我懂了 我明白了
 Richard I know your next book will be a success
 虽然拒绝了
 但是还是要表达一下自己对Richard的这个信息啊
 我相信你下本书呢也会非常成功的
 Congratulations
 Thanks
 Thanks
 Your real Stuart
 Thanks
 这里的your real Stuart
 大家会发现这句话呢贯穿整部剧啊
 最后呢也以这句话收尾
 整部剧呢围绕的就是Stuart Family
 整个一家人的这个生活
 也是整个美国社会的一个缩影
 那讲到这里呢
 我们整部的Family Album USA呢
 就到今天画上了一个圆满的句号
 这部美剧呢我们也讲了有一年的时间
 感谢大家一路以来的支持啊
 总美这部剧呢
 虽然到今天呢画上了一个完美的句号
 但是接下来呢我们也会开展其他新的节目
 大家敬请关注哟",影视,2.384341613037577e-10
3,《三体》全集解析_中国科幻史诗级著作- DJ老赵 - 影视.txt,"哈喽各位同学大家好
 接下来三人就开始在这个小宇宙里无忧无虑的生活了起来
 由于这里可以随意控制时间
 他们这边刚播种完之后没过多久
 麦子就可以成熟了
 所以是不用为食物发愁的
 直到某一天智子说他收到了大宇宙的超模广播
 这是高等文明像全宇宙中还活着的不同人种发出的消息
 大概内容就是宇宙不会迎来大探索了
 将在永恒的膨胀中死去
 因为大家都把大宇宙的物质转移到自己建造的小宇宙中去了
 高等文明的人号召大家把自己小宇宙里的物质都拿出来
 归还给大宇宙
 这样大宇宙才能探索
 才能迎来新一轮的爆炸
 也就是新宇宙的诞生
 成心的这个小宇宙大约只有50万吨的物质
 对于大宇宙来讲可以说是微无其微
 但是如果人人都这么想的话
 那宇宙就完蛋了
 最后二人决定把这个小世界的物质归还给大宇宙
 但成心希望留下一个5公斤重的小小的生态系统
 于是关一番就同意了
 OK
 三体的故事到这里就戛然而止
 不知道成心最后的这个举动有没有把整个宇宙给耽误了
 这女的平常还算理性
 一到关键时刻就特别的理想化
 浪漫主义害死人啊
 最后我还要填一个坑
 就是之前我说过
 我认为面壁者西恩斯的思想刚印计划是最成功的
 因为没有他的那个计划
 张北海就不会成为执行舰长
 张北海没有带着星际战舰逃跑
 那就不会有两艘幸存的战舰
 后续很多故事
 那都是那两艘战舰所引发的
 包括宇宙广播
 包括关一番活到了宇宙末日
 这一切归根结底是人家西恩斯的功劳
 好吧
 终于把这么一部史诗据著给讲完了
 我们看故事不是只看结局的过程
 远大于结局",影视,1.0
4,《与神对话1》l 送给所有正在痛苦的人- 洛阡阡 - 健康.txt,"到這裡呢,《雨神對話1》的正文內容就全部結束了
 作者尼爾·唐納德·沃爾什在最後的這些篇章中呢
 感謝了他在生活中和藝術作品中所遇到的
 所有的人給予他的這些靈感和幫助
 我自己呢是在人生遇到狀況之後
 在朋友的推薦下與《雨神對話1》這本書結緣
 從書中受益良多
 所以非常想以這種播讀的方式和你分享
 也要感謝包容了所有不足到現在並聽到最後的你
 有朋友建議我繼續完成《雨神對話2》和《雨神對話3》的播讀
 首先要非常感謝你的喜歡
 但坦白地說,我感覺自己對這兩件書的緣分還沒到
 也許等到有一天,既然到了
 我會來繼續分享《雨神對話》的其他篇章
 那個時候也歡迎你再來,我們相伴分享
 最後的最後,藉由書裡的表達祝福大家
 願我們都能經驗自我,認識自我,帶著愛,做自己的神",健康,0.9999858851482529
5,《回魂三尸》恐怖悬疑鬼故事- w贺大叔 - 影视.txt,"第四本一十九集
 我之前竟然一直给忽略了,张瞎子继续说道,
 你想一想啊,要是蒋志元就是那个坤将的话,
 他怎么可能在将人面前泡头露面呢?
 更何况,他还给令将接触过,
 当时令将说他对蒋志元是有印象的,
 你还记得吧?我想了想说,
 额,令将说蒋志元全身阴气沉沉,
 不太像是一个大学生该有的样子,
 这就对了,如果蒋志元是坤将,
 那他肯定会情韵皆卖,
 如果会情韵皆卖,
 又怎么可能全身是死气沉沉的呢?
 就算不是帝王之相,
 也肯定是任一种龙凤的样子,
 你再想一想,
 俺虽然见过你们半岛,
 但俺只是见过一次,
 就是那一次,
 俺是不是说他太有女人味了?
 我点了点头,
 张瞎子当时确实说过这话,
 但是在我看来,
 这不就是张瞎子
 看到女人之后的惯性状态吗?
 所以当时我并没有在意,
 可是我万万没有想到,
 张瞎子说这话竟然也是有深意的,
 他又说道,
 气韵这种东西啊,
 对女人来说是不一样的,
 对女人来讲啊,
 气韵越多就越有女人味儿啊,
 这一点你应该是很有体会,
 凌降和你同房之后,
 得到了你身上的气韵,
 他全身上下是不是都洒发着
 一股浓厚的女人味儿啊?
 这可能就是一个个例啊,
 说点儿通俗易懂的吧,
 你看大街上那些耀眼的家伙,
 一旦进了市场了,
 是不是胜值总比其他的女人胜得快啊?
 为什么呢?
 就是因为气韵呐,
 听到这里我再一次震惊了,
 张瞎子无疑又刷新了我的三观,
 最叫我吃惊的是,
 我居然从张瞎子的口中
 听到了耀眼见惑这个流行的网络名词,
 他继续说,
 所以呢,
 你看到俺经常和那些耀眼的家伙在一起,
 其实啊,
 俺那是占着他们身上的气韵,
 跟别人就不是老子好色呀,
 说到这里他顿了顿,
 但是对我来说,
 怎么看都像是此地无银三百两的感觉。
 然后他又继续讲道,
 另外呢,
 最重要的一点就是,
 为什么俺和令将还有赤海货
 都没有看到过另一个你,
 就半倒看见了呢,
 这是不是太不符合常理呢?
 唯一的解释就是,
 你身体里的另一个灰呢,
 就是他呀,
 所以呢,
 他才能够看得到,
 于是老子就赌上一把,
 提前就布置了这个局了,
 就等着他钻进来,
 没有想到啊,
 他果然傻当了,
 这个时候,
 半倒开口撕下咧嘴地问道,
 咱,
 咱婆罗,
 你又是怎么知道,
 我会出现在这里,
 而不是在地宫入口处拦住你们?
 张瞎子又说道,
 这一点很简单哪,
 而且你之前就回答过了,
 因为呀,
 你想要得到大沙滩的身体,
 所以呢,
 你就必须等他,
 变成了漫天过海的过程,
 要是在地宫的入口处拦住了咱们,
 大沙滩不是心甘情愿地过海,
 变数太大,
 你追求了一辈子的事情,
 很可能就会泡汤了,
 你不敢冒这个险,
 所以呢,
 你就放出了蒋志远来扰乱咱们的尸体,
 所以呢,
 你就放出了蒋志远来扰乱咱们的尸体,
 然后呢,
 自己,
 自己就在这边守住歹徒,
 班岛摇了摇头说,
 很可惜,
 到头来还是祖兰达随意惨空,
 但更可惜的是,
 说到这里的时候,
 班岛强行把头转过来看着我,
 我甚至都能够清晰地看见,
 他脸上已经没有一块正常的皮肤了,
 全部变成了血红色,
 而且,
 表情已经征零到了一定的境界,
 看一眼就是一种不寒而栗的感觉,
 他张了张嘴,
 对着我又说道,
 小,
 小牙,
 不管你承不承认,
 你,
 你都就不回灵匠了,
 听到这里,
 我顿时醒悟了过来,
 我来这里的最终目的是来救灵匠的,
 于是我懒得理会他,
 转身我就往棺材那边跑,
 按照张瞎子说的,
 我既然身体里边有班岛的另外一个魂,
 那我也有一部分是鲲匠,
 我就绝对能够打开这口棺材,
 我站在棺材面前,
 双手捂住棺材盖子的边缘,
 使劲往上一抬,
 结果是纹丝不动,
 为什么会这样?
 为什么我抬不动呢?
 班岛的笑声从身后传了过来,
 哈哈哈哈哈哈,
 他又说道,
 现在的张破鲁就是守梦人,
 你觉得你还有可能救回灵匠吗?
 大梦春秋,
 九字命局,
 既然你们都在命局当中,
 那就必须要遵循这个梦,
 否则,
 大梦春秋破,
 棚间,
 还怎么一梦一千一百年,
 张破鲁是守病人,
 他怎么可能允许这样的事情发生呢?
 我转身看着张瞎子,
 然后我问他,
 张瞎子,
 他说的是真的还是假的?
 张瞎子站起身来,
 然后说道,
 他讲的是真的,
 听到这话,
 我迈开大步,
 急速走向张瞎子,
 双手我揪住他的领口,
 疯狂地问道,
 张瞎子,
 我为什么打不开棺材?
 张瞎子回答说,
 因为啊,
 在离昏迷的时候,
 俺做了一块墓碑,
 然后娘倒立着放在了棺材前面,
 并且用一双印鞋,
 放在了墓碑的底座上头,
 他说完这话,
 我整个人都快要炸开了,
 这手法不正是当初陈先生
 对付我爷爷棺材的手段吗?
 也是,
 张瞎子得到了陈友信的契约,
 现在也算是邪将,
 他会邪将一脉的手段再正常不过了,
 我说道,
 张瞎子,
 你为什么要这么做?
 那块墓碑在哪里?
 张瞎子说道,
 因为你不能打开这棺材,
 所以娘,
 俺把那块墓碑砍成了九段,
 扔到了那些坑里头了,
 现在被水掩了,
 更是不可能找到的,
 听完这话,
 我二话不说就朝着水面走了过去,
 就算是张瞎子把这块墓碑砍成了九百段,
 我也要一块一块地从水里把它摸上来,
 只是我还没走出几步,
 就被张瞎子一把给拉了回来,
 然后把我狠狠地扔在了地上,
 俺是你个奶奶家,
 你他娘的不要命了,
 这水里头都是尸体,
 我看了一眼张瞎子,
 哭笑着说道,
 张瞎子,
 救不回灵匠,
 我活着还有什么意义呢?
 他又说道,
 难道你就不想知道
 你为什么不能打开这棺材吗?
 为什么?
 为什么?
 俺是你个奶奶家,
 俺问你,
 你什么时候听说过,
 自己能给自己开棺材的呀?
 我确实没有听过
 自己给自己开棺材的,
 毕竟人死了,
 还怎么可能给自己开棺呢?
 张瞎子又说道,
 你想一下呀,
 人在什么时候
 才能看见自己完整的身体呀?
 死了之后,
 还有照镜子的时候,
 张瞎子猛的一拍大腿说道,
 对了,
 就是这两点呢,
 你想一想啊,
 你要是打开了棺材,
 看到棺材里头的另外一个自己,
 这是不是就相当于照镜子?
 你不要忘记了,
 这里还有一个困匠在这儿呢,
 一旦出现了一面镜子,
 你觉得他会不把俺们两个
 困到镜间里头吗?
 老子不是灵匠,
 对破井间是不有警言的,
 所以呢,
 老子就缝住了这口棺材,
 是放着你去开棺,
 形成一面镜子,
 他为什么一直要你去开棺呢?
 这么简单的挑拨理解,
 你都没有看出来吗?
 你他娘的能不能再蠢一点啊?
 就算是要开棺,
 那也是他娘的老子来开。
 听闻张瞎子的话,
 我是一阵脸红,
 如果不是张瞎子
 及时地阻止了我,
 我很可能不仅没有救回灵匠,
 甚至还连累了张瞎子。
 我又说道,
 那,
 那你提前跟我说不就行了,
 你没必要把墓碑卡成酒断啊,
 你他娘的懂得乱呢你啊?
 老子之所以会把墓碑卡成酒断,
 是因为担心你被蛊惑,
 脑袋一热呀,
 就想尽办法把棺材开了。
 你自己也知道,
 你的潜能有多大,
 那你要是发起风来,
 连老子都不一定能吓得住你呀。
 我又说道,
 那你准备怎么开棺,
 墓碑都被你卡成了好几截了。
 张瞎子捡起了地上的灭刀说道,
 说你捶哪,
 你他娘的还不信,
 老子现在不仅仅是炸将了,
 还是蝎将,
 蝎将有一掌是专门开棺的,
 你忘记了,
 我顿时了然了,
 蝎将一辈有一招叫做一脚开,
 的确是专门用来开棺的,
 张瞎子提着灭刀向前,
 我看了一眼,
 我总觉得他的眼神有些和平时不太一样,
 但是我全心全意的,
 注意力都在开棺上边,
 所以就没有怎么在意,
 他说道,
 你他娘的给老子跪远一点,
 老子要去开棺了,
 但是我远远地在一边站着,
 等着张瞎子传来好消息,
 在我看来,
 这世界上任何事情,
 只要张瞎子他出手,
 那么就一定会得到完美的解决,
 而这一次,
 我相信也不例外,
 但是,
 凡事都有例外,
 我总感觉哪里有些不对劲,
 还没等我想明白,
 到底哪儿不对劲的时候,
 我就看见张瞎子,
 想把棺材盖子给踢开,
 然后他趴在棺材边缘,
 往里边看了一眼,
 一道刺眼的光亮,
 突然间从棺材里边射了出来,
 照得整个地宫亮如白昼,
 啊,
 老子的眼睛啊,
 我听到张瞎子一声丝心裂肺的大叫,
 白光消散,
 我就看见张瞎子,
 捂着双眼在原地打滚,
 一声声哀嚎是不断地传来,
 啊,
 啊,
 老子终于知道了,
 九世百象汇头望,
 漫天过海得赢胜,
 越来如此,
 越来如此,
 看到这一幕,
 我的心脏都快要停止了,
 我几乎是疯了一样冲向了张瞎子,
 把他的身子给搬正,
 问他到底发生了什么事,
 当我把他的身子搬过来的那一刹那
 我看见
 在他双手的指缝间
 血液流淌
 一声声急促的呼吸声
 从他的鼻尖传了过来
 像是一把把尖锐的刀子一样
 狠狠地扎在我的心里
 破鲁虾
 破鲁虾
 破鲁虾
 我感觉整个世界都在摇晃
 我觉得整个地宫都在旋转
 不对
 这个地宫是真的在摇晃
 地宫要塌了
 是真的要塌了
 我放好张瞎子
 转身就往棺材那边跑
 想要把里边的灵匠给爆出来
 可是
 那口棺材的盖子
 不知道什么时候竟然又给合了上去
 任由我怎么弄
 那棺材盖子就是纹丝不动
 底面
 就像是一整块玻璃一样
 已经开始出现了缝隙
 棺材最重
 所以最先压烂玻璃
 开始就那么往下沉
 高台之下
 便是深水
 我毫不犹豫地就跳了下去
 试图不让棺材往下沉
 在我看来
 这些坑有底
 等到棺材降到了水底
 就没有办法再降了
 等到那个时候
 我就可以再想办法打开棺材
 可是
 我又错了
 我这辈子
 似乎就没有做过对的事情
 我看见水底深处的那些尸体
 竟然也在下沉
 我拿着手电筒往下照射了一下
 光线摄像之所
 黑漆漆的一片
 无边无际
 之前那些扇形巨坑的坑底
 竟然也全部崩塌了
 这是一个无底的深渊
 我趴在棺材上
 把脸贴在棺材上边
 随着它一起往下降
 我心想
 就这么一直沉下去好了
 不管沉到哪里
 哪怕是十八层地狱
 只要灵匠还在我身边
 我就什么都不怕
 可是
 就在这时
 我无意间撇到张霞子的身影
 她在水中
 像是一只无头苍蝇一样的乱晃着
 视觉的缺失
 让她暂时失去了方向感
 我死可以
 但是不能拉着张霞子陪葬啊
 我看着身下的这口棺材
 心如刀割
 当我松开手的那一刹那
 我知道
 我所有的幻想
 我所有的期盼
 在这一刻
 彻底地化为乌有
 也是在这一刻
 我终于接受了九字命局
 眼角有泪
 无声无息
 混进水里
 不复存在
 我和张霞子
 逃出吐司亡目的时候
 已经是第二天的晚上了
 吐司亡目坍塌的巨大声响
 震醒了村子的所有人
 张霞子虚弱地说道
 大傻蛋
 赶快
 赶快回汪家村
 去吃了
 就完了
 张霞子
 为什么
 我之所以这么问
 是因为我打算把张霞子
 弄出吐司亡目之后
 再进墓去
 灵匠葬在了这里
 我也应该葬在这儿
 可是张霞子这一句话
 让我不得不考虑
 我爸我妈的安危
 张霞子又说道
 这
 这有信死
 俺成为了信的守墓人
 那不
 以奄奄落潮挺死
 谁
 谁他娘的
 谁是下一个守墓人呢
 我想了想
 面如死灰
 我说道
 陈先生
 陈亿
 张霞子点了点头说
 俺在棺材里头
 看到了所有事情的真相
 包括
 包括你母亲
 是怎么死的
 快
 赶快回家
 要不然
 你爸你妈
 就都不由命了
 当初
 你替汪二狗
 引回渡河的时候
 是不是陷到幻境里头
 半个多小时啊
 那就是陈汉霍搞的鬼啊
 他想要你一辈子
 都陷到里头
 然后好霸占你的身体
 但
 但是呢
 被你身体里头
 另外一个魂给救了
 我知道张霞子
 不会拿我爸妈的事情开玩笑
 于是我领着她
 出了村子
 一路往外跑
 出村之前
 我无意间看到
 那只考古队所有的人
 站在吐司王墓前
 垂胸遁足
 一个个脸色难看的
 好像是死了爹娘一样
 而这群人里边
 唯独少了班岛的身影
 出村的时候
 刚好碰到有考古队的车出来
 搭了一段顺风车到站上
 因为我们没有跟着他们进去
 所以他们也没有怀疑我们什么
 但是我知道
 事情应该瞒不了多久
 毕竟我们进去的时候
 外边那几个穿制服的人是知道的
 到了站上之后
 张霞子
 让我拿着她的银行卡
 取了两万块钱
 然后拦了一辆私家车
 张霞子把两万块钱扔在她车上
 然后说道
 师父
 走
 去邦家村
 在两万块钱的诱惑下
 车子一直开到了不能开的地方
 但就算是这样
 还是没能开到张霞子每次开的那里
 下车以后
 我领着张霞子一路向前
 到了村里的时候
 已经是午夜之后了
 刚迈进村子
 我就看见陈先生
 一脸微笑地站在前面不远处
 就那样静静地看着我们
 他的双脚跟腱不是断了吗
 怎么现在还能站起来呢
 他说道
 小伙子
 你们两个
 怎么这个时候回来了
 姓林的那个女娃娃呢
